English,Tulu
The Wise One Arguments,ವಿವೇಕೆ ಅನುವಾದ ಮಲ್ಪುವೆ
Bhakti is also derived from the belief in fear within human beings.,ಅಂಚನೇ ನರಮಾನ್ಯ ಅಂತರಂಗೊಡು ಭಯ ನಂಬಿಕೆದ ನಡುಟು ಉಂಡಾದ್ ಬರ್ಪುನವೆ ಭಕ್ತಿ
The time when the Makhe Nakshatra begins,ಮಖೆ ನಕ್ಷತ್ರ ಶುರು ಅಪಿನ ಕಾಲ
There were talks of holding a function in coordination with the Tulu Academy from 14 to 16 August.,ಅಗೋಸ್ಟು ೧೪ಡ್ದ್ ೧೬ಗ್ ಮುಟೊ ತುಳು ಅಕಾಡೆಮಿದ ಸೇರಿಗೆಡ್ ಒಂಜಿ ಕಜ್ಜಕೂಟೊ ನಡಪಾವುನ ಬಗೆಟ್ ಪಾತೆರೊಕತೆ ಆಂಡ್.
"The mother of the present-day Rahyathadka Madaru, a Mogera community",ಇತ್ತೆದ ಉಳಿಯತ್ತಡ್ಕ ಮದರು ಪನ್ಪಿನ ಮೊಗೇರ ಸಮುದಾಯೊದ ಅಪ್ಪೆ
Achintya loves animals,ಅಚಿಂತ್ಯೆ ಪ್ರಾಣಿಲೆನ್ ಮೋಕೆ ಮಲ್ಪುವೆ
Some other children go a little further than this and stand on the side of the terrace and throw Akshata on the deity.,ನನ ಕೆಲವೊಂಜಿ ಜೋಕುಲು ನೆರ್ದುಲಾ ಒಂತೆ ದುಂಬು ಪೊದು ಕೊಡಿಯಾಡಿತ್ತ ಬರಿಟೆ ಉಂತುದ್ ದೈವೊದ ಮೇಲ್ ಗು ಪೂಅರಿ ದಕ್ಕುವೆರ್
But it's hard to do that.,ಆಂಡಾ ಅವೆನ್ ಮಲ್ತುದ್ ತೊಜಾವುನ ಭಂಗ್ಞದ ಬೇಲೆ
When Ashadha's troubles go away and Shravan becomes a little easier,ಅಟಿದ ಭಂಗ ಪೊದು ಸೋಣ ಒಂತೆ ಅನುಕೂಲ ಅಪಿನ ಪೊರ್ತು
The ghost-sitting pig,ಬೂತ ಕುಲ್ಲಿನ ಪಂಜಿ
Shyam is the owner of the land,ಶ್ಯಾಮೆ ಆ ಭೂಮಿದ ಧನಿಯಾತೆ
Sumathi was shocked at once.,ದೆತ್ತೊಂದು ಮಾತಾ ಎನ್ನೊಂದುಲ್ಲೆರ್
Saketa is friendly,ಸಾಕೇತೆ ಸ್ನೇಹಮಯಿಯಾದುಲ್ಲೆ
The Dakshina Kannada district administration has taken strict legal action to prevent the spread of coronavirus.,ಕೊರೊನಾ ವೈರಸ್ ಪಸರುನೆನ್ ತಡೆಯರೆ ದಕ್ಷಿಣ ಕನ್ನಡ ಜಿಲ್ಲಾಡಳಿತ ಕಠಿಣ ಕಾನೂನು ಕ್ರಮ ದೆತೊನ್ದೆರ್ .
Your wife's first,ನಿನ್ನ ಬೊಡೆದಿ ಮುರಾನಿ
"One day, Sadashivrao did not have his coat on when he came from school.","ಒಂಜಿ ದಿನ ಸದಾಶಿವರಾಯೆಿರ್‌ ಶಾಲೆಡ್ಜ್‌ ಬನ್ನಗ ಅರೆನ ಕೋಟು ಇಜ್ಜಾಂಡ್‌,"
"The administration, which held a meeting on the issue of Covid control at the panchayat hall on Thursday, decided to create awareness about Covid, impose fines on those violating the order, and set up a special task force with representatives of nearby associations as per the instructions of the district administration.","ಗುರುವಾರ ಪಂಚಾಯತ್ ಸಭಾಗೃಹಡ್ ಕೋವಿಡ್ ನಿಯಂತ್ರಣ ವಿಷಯಗ್ ಸಂಬಂಧಿ ಸಭೆ ನಡಪಾಯಿನ ಆಡಳಿತ ಜಿಲ್ಲಾಡಳಿತದ ಸೂಚನೆ ದ ಪ್ರಕಾರ ಕೋವಿಡ್ ಬಗ್ಗೆ ಜನಜಾಗೃತಿ, ಆದೇಶ ಉಲ್ಲಂಘನೆ ಮಲ್ತಿನಕ್ಲೆನ ವಿರುದ್ಧ ದಂಡ ಹೇರಿಕೆ ಬೊಕ್ಕ ಕೈತಲ್ ದ ಸಂಘ-ಸಂಸ್ಥೆದ ಪ್ರತಿನಿದಿಲು ಉಪ್ಪುನ ವಿಶೇಷ ಕಾರ್ಯ ಪಡೆ ರಚನೆ ಮಲ್ಪರೆ ನಿರ್ಧಾರ ಮಲ್ತೆರ್."
Gurgunji is a small reddish-brown piece of wood with a black hue that is an art from the law of nature.,ಗುರುಗುಂಜಿ ಮರತ್ತ ಒಂಜಿ ಕೆಂಪು ಬಣ್ಣೊದ ಕಿನ್ಯ ಕಾಯಿ ಅಯಿಟ್ ಕಪ್ಪು ಬಣ್ಣ ಉಂಡು ಅವು ಪ್ರಕೃತಿ ನಿಯಮಡ್ ಬತ್ತಿ ಕಲೆ
Aaradhya takes over the company,ಆರಾಧ್ಯೆ ಆ ಕಂಪೆನಿನ್ ಆಯನ್ ವಶೊಕು ಪಡೆಯೊನುವೆ
The hunter had put down the net,ಬೊಂಟೆದಾಯಿ ಬಲೆನ್ ತಿರ್ತು ಪಾಡ್ಡಿತ್ತೆ
A forested hillock in a village is washed away by the monsoon winds.,ಹಳ್ಳಿಡ್ ಕಾಡ್ ಗುಡ್ಡೆ ತೋಕೆ ಒರುಂಕುಲೆಡ್ ಮರಿಯಲದ ಗಾಳಿ ಬರ್ಸೊಗು ನನೆವೊಂದು
Why is this happening in my mind?,ಚೆ ಎನ್ನ ಮನಸ್ ಡ್ ದಾಯೆ ಇಂಚಿನ ಮಾತಾ ಆವೊಂದುಂಡು
Look at the Jumadi in human form.,ಕಬತ್ತಾರ ಗುತ್ತುದ ಇಲ್ಲದ ಬಾಕಿಲುಗ್ ಮಾನಿ ಒರುಟ್ ಬರ್ಪೆ
"If taken, some will take it away.",ದೆತ್ತೆರುಂಡ ಕೆಲವರು ಆನಿಯೇ ದೆಪ್ಪುವೆರ್
Achyuta is escaping,ಅಚ್ಯುತೆ ತಪ್ಪಾವೊಂದುಲ್ಲೆ
Children who don't go to school,ಶಾಲೆಗು ಪೋದು ಓದಂದಿನ ಜೋಕುಳು
Mahesh makes a fight,ಮಹೇಶೆ ಪೋರ್‍ಂಬಾಟ ಮಲ್ಪುವೆ
Son Beera Kalkuda When Mother's Bowel Melted Into Tears,ಅಪ್ಪೆನ ಕರ್ಲೇ ಕರದ್ ಕನನೀರಾದ್ ಪರಿಪುನಗ ಮಗೆ ಬೀರ ಕಲ್ಕುಡೆ
serenity is the owner,ಪ್ರಶಾಂತೆ  ಧನಿಯಾತೆ
A word in the past,ದುಂಬು ಒಂಜಿ ಪಾತೆರ
Children born on a full moon shine like a full moon on this earth.,ಪುಣ್ಣಮೆದಾನಿ ಪುಟ್ಟಿನ ಜೋಕ್ಲು ಪುಣ್ಣಮೆ ಚಂದ್ರಲೆಕ್ಕ ಈ ಭೂಮಿಡ್ ಬೆಳಗುವೆರ್
The sky is escaping,ಆಕಾಶೆ ತಪ್ಪಾವೊಂದುಲ್ಲೆ
Shankar wants to play,ಶಂಕರೆ ಗೊಬ್ಬರೆ ಇಚ್ಚಿಸುವೆ
Chaitanya is eating sweets,ಚೈತನ್ಯೆ ಚೀಪೆ ತಿನ್ನೊಂದುಲ್ಲೆ
ajay is annoying,ಅಜಯೆ ಕಿರಿಕಿರಿ-ಮಲ್ಪುವೆ
Ramanna did not return the money.,ರಾಮಣ್ಣೆ ಕಾಸ್ ಪಿರಕೊರ್ತುಜೆರ್
No action to be taken,ಬಯಕೆ ಪಾಡುನ ಕ್ರಮ ಇಜ್ಜಿ
"Yes, he played his head.",ಅಂದ್ಂದ್ ತರೆ ಆಡಾಯೆರ್
Upendra makes war,ಉಪೇಂದ್ರೆ ಲಡಾಯಿ ಮಲ್ಪುವೆ
Sarvesh is wearing a dirty dress,ಸರ್ವೇಶೆ ಕುರೆಯಾತಿನ ಕುಂಟು ಪಾಡ್ದೆ
Ayush invests in a new business,ಆಯುಷೆ ಪೊಸ ಬೇರೊಗು ಬಂಡವಾಳ
The sky is wanting,ಆಕಾಶೆ  ಬಯಕೊಂದುಲ್ಲೆ
The earth waits with bani in the guise of the god Nesara,ನೇಸರ ದೇವೆರೆ ದಗೆಟ್ಟ್ ಬಾನೊಡ್ದ್ ಭೂಮಿ ಕಾಯುಂಡು
It has to be at home again.,ಅವು ಅವೊಡಾಯಿನಿ ಇಲ್ಲಡ್ ಬೊಕ ಊರುಡ್
It can be used for cooking if needed.,ಅಗತ್ಯ ಬೂರುಂಡ ಅಟಿಲ್ ಮಲ್ಪೆರೆ ಗಳಸುವೆರ್
"Jackfruit, which was once a dog's milk, is now worth a lot of money.",ಒಂಜಿ ಕಾಲೊಡು ನಾಯಿ ಸಂತೆದಂಚ ತಿಕ್ಕುನ ಬೊಕ್ಕ ದಕ್ಕೊಂಡಿತ್ತಿನ ಪೆಲಕಾಯಿಗು ಇತ್ತೆ ಬಾರಿ ಬಿಲೆ
Whoever found the faucet knows the tree.,ಯೆರ್ ತಿಕುಂಡ ಬೆಡಿತ್ತ ನಲಿಗೆ ಮರ ಪುದೆಲ್
Advika is wearing a new shirt,ಅದ್ವಿಕೆ ಪೊಸ ಕುಂಟು ಪಾಡ್ದೆ
The Bahubali of Sovereign Shravanabelagola was carved by Harihara II.,ರಡ್ಡನೇ ಹರಿಹರ ಪನ್ಪಿ ಸಾಮಂತರಸು ಶ್ರವಣಬೆಳಗೋಳದ ಗೊಮ್ಮಟನ್ ಕೆತ್ತದಿತ್ತೆ
The kings have told you to come.,ಅರಸುಲು ಈರೆಗ್ ಲೆಪ್ಪು ಕೊರ್ತೆರ್
The Pancholi Veetera Dal is back in action.,ಪಂಚೊಲಿ ಬಚ್ಚಿರೆ ಬೊಕ ಗಿಜೆತ್ತಿ ಕೊರ್ಪೆರ್
Neelkanth is holding,ನೀಲಕಂಠೆ ಪತೊಂದೆನೆ
The sixth is finishing the story,ಆರವೆ ಕಥೆನ್ ಮುಗಿತೊಂದುಲ್ಲೆರ್
Shiva is worshipped,ಶಿವೆ  ಆರಾಧನೆ-ಮಲ್ಪುವೆ
This caused tension between the rulers of Venur and Karkala and caused them to bicker with each other.,ಉಂದು ವೇಣೂರು ಬೊಕ್ಕ ಕಾರ್ಲದ ಅರಸುಲೆಡ ಪಗೆ ಮೂಡದ್ ಇರ್ವೆರ್ಲಾ ತೊಡೆ ಬೊಟ್ಟೊನುನಂಚ ಮಲ್ತಿತ್ತುಂಡ್
The use of oxen,ಬೋರ್ಲ್ ಉಪಯೋಗ ಆಪುನಿ
"However, from 6 am to 10 am, people are coming out of their homes on the pretext of buying essentials.",ಆಂಡಲಾ ಕಾಂಡೆ 6 ಗಂಟೆರ್ದ್ 10 ಗಂಟೆ ಮುಟ ಜನಕುಲು ಅಗತ್ಯ ವಸ್ತುದ ಖರೀದಿದ ನೆಪಟ್ ಇಲ್ಲರ್ದ್ ಪಿದಾಯಿ ಬರೊಂದು ಉಲ್ಲೆರ್ .
Vihaan is looking beautiful,ವಿಹಾನೆ ಪೊರ್ಲು ತೋಜೊಂದುಲ್ಲೆ
Mud-walled houses collapse when flooded,ಮಣ್ಣ್ ದ ಗೋಡೆದ ಇಲ್ಲುಲು ಬೊಲ್ಲ ಬನ್ನಗ ದಿಸೀಲಾಂದ್ ಗೋಡೆ ಮಗುರುಂಡು
Vishwajeet is the king of beauty.,ವಿಶ್ವಜಿತೆ ಪೊರ್ಲುದ ರಾಜೆಯಾತೆ
The forest in Tulunadu was full of wild tree and plant wealth.,ಒಂಜಿ ಕಾಲೊಡು ಬೆನ್ನಿ ಸಾಗೊಲಿಡ್ ಪುದರ್ ಪೊಯಿನ ತುಳುನಾಡ್
Give me the screen of a lame duck,ಕೊಡಿ ಮರ್ದುಗ್ ಒಳ್ಳೆದ ಕೊಡಿ ಕೆಪುಳದ ಕೊಡಿ
"He said that as per the directions of the Rashtriya Raktchalan Parishad and the guidelines of the Central Government, those who have received the vaccine can donate blood after the next 28 days.",ರಾಷ್ಟ್ರೀಯ ರಕ್ತಚಾಲನ ಪರಿಷತ್ ನೀರ್ದೇಶನ ಬೊಕ್ಕ ಕೇಂದ್ರ ಸರ್ಕಾರದ ಮಾರ್ಗಸೂಚಿದ ಪ್ರಕಾರ ಲಸಿಕೆ ದೆತೊನಿನಕುಲು ನನ ದುಂಬುದ 28 ದಿನ ನೆತ್ತೆರ್ ದಾನ ಮಲ್ಪೊಡು ಪಂದ್ ಪಂಡೆರ್.
The ghost in the back of these pigs,ಈ ಪಂಜಿಲೆ ಬೆರೀಟ್ ಬೂತ
So now it is very less to hit the Ajasula paddy field.,ಅಂಚದ್ ಇತ್ತೆ ಅಜಸೂಲ ನೆಲಕೈ ಹಾಕುನಿ ಪೂರ ಬಾರಿ ಕಮ್ಮಿ ಆತ್ತುಂಡು
"The family, who had been dreaming of this, now yearns anxiously that it will be enough to come and touch Bir's house.",ಕನ ಕಟ್ಟೊಂದಿತ್ತಿ ಕುಟುಮೊ ಇತ್ತಿತ್ತೆ ಬೀರೆ ಇಲ್ಲ್ಗೆತ್ಯೆಂಡ ಯಾವುಂದು ಬೇನೆಡ್ ಕಾತ್ ಕುಲ್ಲೊಂದುಂಡು
The rivers are overflowing and go to the sea without any place to stand for the monsoon water.,ತುದೆಕ್ಕುಲು ನಿಗ್ಗಿದ್ ಮರಿಯಲದ ನೀರ್ಗ್ ಉಂತರೆ ಜಾಗ್ದಾಂತೆ ಕಡಲ್ಗ್ ಪೋಪುಂಡು
Manohar receives the letter,ಮನೋಹರೆ ಓಲೆ ದೆತೊನುವೆ
The fruit of the basil gives it a special purity.,ಬಂಜಿನ ಫಲಬೈದಿನ ಪಂಡಾ ಅಯಿಕ್ ಇಸೇಸವಾಯಿನ ಪಾವಿತ್ರತೆನ್ ಕೊರ್ಪೆರ್
"In between, they can donate blood.",ಐತ ನಡುಟು ಮೆಕುಲು ನೆತ್ತೆರ್ ದಾನ ಮಲ್ಪೋಲಿ ಪಂದ್ ಪಂಡೆರ್.
"Seeing this, the sorcerer thought and said to Nagadi,",ಉಂದೆನ್ ತೂಯಿನ ಮಂತ್ರವಾದಿ ಆಲೋಚನೆ ಮಲ್ತ್ ದ್ ತೆಲ್ತ್ ದ್ ದಾದ ಪಂಡೆ ಪಂಡ
The species is closely related to agriculture.,ಮೆಕ್ಲ್ ಪಿರಾಕಡ್ಀದೇ ಬೇಸಾಯೊ ಮಲ್ತೊಂದಿತ್ತೆರ್
The Superintendent takes custody of the,ಅಧೀಶೆ ಆ ಕಂಪೆನಿನ್ ಆಯನ್ ವಶೊಕು ಪಡೆಯೊನುವೆ
"Namsula Barke, who joins the mind of the mother with the death of Karnika",ಕಾರ್ನಿಕದ ಮಾಯದೊಟ್ಟಿಗೆ ಮಾಯದ ಚಿತ್ತೊಗ್ ಸೇರುನ ಎಣ್ಸೂಲ ಬರ್ಕೆ
This three-day festival is a three-day sacrifice.,ಈ ಮೂಜಿ ದಿನತ ಉಚ್ಚಯ ಮೂಜಿ ದಿನತ ಬಲಿ
"This year, however, the rule has changed.",ಆಂಡ ಈ ವರ್ಷ ಈ ನಿಯಮ ಬದಲಾತುಂಡು .
Prasanna makes a fuss,ಪ್ರಸನ್ನೆ ಉಪದ್ರ ಮಲ್ಪುವೆ
If you get hit,ಒಂಜಿ ವೇಳೆ ತಾಗುದ್ ಪೆಟ್ಟಂಡ
amit is clueless,ಅಮಿತೆ ಬುದ್ಧಿಹೀನೆಯಾತೆ
Indra is driving the vehicle,ಇಂದ್ರೆ ಗಾಡಿ ಬುಡೊಂದುಲ್ಲೆ
"On this day, rice is offered by taking it to the temple.",ಬಡವು ಕೊರ್ರೆ ಸುರು ಮಲ್ತಿನ ಒಂತೆ ದಿನೊಟು ಗಂಜಿ ಕೊರ್ಪೆರ್
So I'll jump into this fire and donate my body for you to eat.,ಅಂಚಾದು ಈ ಅಗ್ನಿಗು ಲಾಗಿದು ಎನ್ನ ಜೂವದಾನ ಮಲ್ಪುವೆ ಈರು ತಿನ್ಲೆ
Why don't you speak?,ದಾನೆ ಪಾತೆರುಜ ಪಂದ್
He was sentenced to a total of five years rigorous imprisonment.,ಒಟ್ಟುಅಯಿನ್‌ ವರ್ಸೂದ ಬಂಜೊದ ಸಿಕ್ಕೆ ಪಡಯರ್‌
"Instead of the mango leaf, its leaf can also be placed in the kalash.",ಕುಕ್ಕುದ ಇರೆತ ಬದಲು ಕಳಸೊಗು ನೆತ್ತ ಇರೆನುಲಾ ದಿವೊಲಿ
"AICC secretary Ivan D'Souza said the Congress will launch a mass movement on Sunday (May 16) to bring to the notice of the central government the pain of the people of the country, ""Give us free vaccine"" and give the vaccine within the stipulated time.","ದೇಶದ ಜನಕ್ಲೆನ ಬೇನೆನ್ ಕೇಂದ್ರ ಸರ್ಕಾರದ ಗಮನಗ್ ಕನಪಿನ ನೆಲೆಟ್ಟ್ “ನಮಕ್ ಉಚಿತ ಲಸಿಕೆ ಕೊರ್ಲೆ , ‘ಲಸಿಕೆನ್ ನಿಗದಿತ ಪೊರ್ತುದ ಉಲಯಿ ಕೊರ್ಲೆ ಪನ್ಪಿನ ‘ ಜನಾಂದೋಲನನ್ ಐತಾರ (ಮೇ 16) ಕಾಂಗ್ರೆಸ್ ಸುರು ಮಲ್ಪರೆ ಉಂಡು ಪಂದ್ ಎಐಸಿಸಿ ಕಾರ್ಯದರ್ಶಿ ಐವನ್ ಡಿಸೋಜ ಪಂಡೆರ್."
How far can they go?,ಯೆತ್ ದೂರೊಗುಲಾ ನಡತ್ ಪೊಪೆದುನ ತಾಕತ್ತುದಕ್ಲ್
once the ring of the right foot,ಒರ ಬಲತ್ತಕಾರ್ದ ಉಂಗುಷ್ಟ
Shankara is protesting their words.,ಶಂಕರೆ ಅಕ್ಲೆನ ಪಾತೆರೊನು ಪ್ರತಿಭಟಿಸವೊಂದುಲ್ಲೆ
Brothers and sisters,ಅಣ್ಣನಕುಲು - ಮಗ್ಬಿ
Kiran is behaving rudely,ಕಿರಣೆ ಅಸಭ್ಯವಾದ ವರ್ತನೆ ಮಲ್ತೊಂದುಲ್ಲೆ
Learning to do,ಬೆನ್ಪಿ ಬರವು ಕಲ್ತೊಂದಿತ್ತೆ
A white robe or line is tied around the head.,ಕಾರ್ಀದ ಪಾದೊಗು ಮುಟ್ಟ ಜಪ್ಪುಡುವೆರ್
Pigs are group animals.,ಪಂಜಿಲು ಗುಂಪುಗಾರಿಕೆಡು ಇಪ್ಪುನ ಮುರ್ಗೊಲು
This action still remains the same.,ಈ ಕ್ರಮೊ ಇತ್ತೆಲಾ ಅಂಚನೇ ಒರಿದ್ಂಡ್
Vinayaka mispronounces,ವಿನಾಯಕೆ ತಪ್ಪು ಉಚ್ಚಾರ ಮಲ್ಪುವೆ
mix three different names of buckwheat,ಕುಡು ಉರ್ದು ಪದೆಂಗಿ ಮೂಜೆನ್ ಬೇತೆ ಬೇತೆನೆ ಬಿರಾದ್
Vishwajeet is eating,ವಿಶ್ವಜಿತೆ  ತಿನ್ನೊಂದುಲ್ಲೆ
I don't know what's happening here.,ದಾದಾವೊಂದುಂಡು ಮೂಲು ಪನ್ಪಿನ್ನವ್ವೇ ತೆರಿಯುಜಿ
Sujaya cleans the house,ಸುಜಯೆ ಇಲ್ಲನ್ ಸ್ವಚ್ಛಮಲ್ಪುವೆ
Its artistic base continued to show that nature,ಅಯಿತ ಕಲೆ ನಿಲೆ ಆ ಪ್ರಕೃತಿಯೆ ತೊಜದ್ ಕೊರೊಂದು ಇತ್ತುಂಡು
Thus he proceeds to a place called Kavathara Goli.,ಕಬತ್ತಾರ್ ರಾಜ್ಯೊಗ್ ಪೊಗ್ಗಿಯೆ
It was also on an auspicious day that the carved idol was handed over to the kings.,ಅವ್ವೊಂಜಿ ಎಡ್ಡೆ ದಿನತಾನಿ ಕೆತ್ತಿಂಚಿ ಮೂರ್ತಿನ್ ಅರಸುಲೆಗ್ ಬುಡ್ದ್ ಕೊರ್ಪಿನ ಲೇಸ್ ಲಾ ಮುಗಿದ್ ಪೋಪುಂಡು
He bent both his legs.,ತನ್ನ ರಡ್ಡ್ ಕಾರುನ್ ಮಡಿತ್ತ್ ಕುಲ್ಲಿಯೆ
The elephant comes in the form of a human to the door of the house of Kavattar Gutta.,ಎಂಕ್ ಇಂಚಿನ ಗುತ್ತು ಬೋಡ್ ಪಂದ್ ಎನ್ನೊನುವೆ
District Collector G. Jagadish said that check posts should be opened in the border area of the district to control unnecessary vehicular traffic in order to implement the guidelines issued by the state government from April 27 to May 12 regarding the control of the second wave of Covid.,"ಕೋವಿಡ್ 2ನೇ ಅಲೆ ನಿಯಂತ್ರಣಗ್ ಸಂಭಂದ ಪಟ್ಟಿನಂಚ , ಎ.27ರ್ದ್ ಮೇ 12 ಮುಟ ರಾಜ್ಯ ಸರಕಾರ ಕೊರಿನ ಮಾರ್ಗಸೂಚಿಲೆನ್ ಅನುಷ್ಠಾನ ಮಲ್ಪುನ ನೆಲೆಟ್ಟ್ ಜಿಲ್ಲೆದ ಗಡಿ ಪ್ರದೇಶಡ್ ಚೆಕ್‌ಪೋಸ್ಟ್‌ಲೆನ್ ದೆತ್ದ್ ಅನಗತ್ಯ ವಾಹನ ಸಂಚಾರನ್ ನಿಯಂತ್ರಣ ಮಲ್ಪೊಡು ಪಂದ್ ಜಿಲ್ಲಾಧಿಕಾರಿ ಜಿ.ಜಗದೀಶ್ ತೆರಿಪಾದೆರ್ ."
Sudhanva acts in the film,ಸುಧನ್ವೆ ಸಿನಿಮೊಡು ನಟನೆ ಮಲ್ಪುವೆ
Reduce your appetite a bit,ಈರೆನ ಬಡವುನು ಒಂತೆ ಕಡಮೆ ಮಲ್ಪುಲೆ
Abhinav is walking,ಅಭಿನವನು ನಡತೊಂದುಲ್ಲೆ
"At that time, I was black.",ಅದಗ ಜಿಮಾದಿ ಯಾನ್ ಕರಿ ಬಣ್ಣದ ಜೀಮಾದಿ
Sujaya is flushing the paper,ಸುಜಯೆ ಕಾಕಜಿನ್ ಪರ್ತೊಂದುಲ್ಲೆ
Nanjunda is the king,ನಂಜುಡೆ  ರಾಜೆಯಾತೆ
jagdish is emptying the meal,ಜಗದೀಶೆ ವಣಸ್‍ನ್ ಖಾಲಿ ಮಲ್ತೊಂದುಲ್ಲೆ
Manikanta is flowing,ಮಣಿಕಂಠೆ  ಪರ್ತೊಂದುಲ್ಲೆ
The hospital now uses 10 oxygen cylinders per hour.,ಇತ್ತೆ ಆಸ್ಪತ್ರೆಡ್ ಒಂಜಿ ಗಂಟೆಗ್ 10 ಆಕ್ಸಿಜನ್ ಸಿಲಿಂಡರ್ ಬಳಕೆ ಆವೊಂದು ಉಂಡು .
Once upon a time while hunting,ನೆನ್ನ ಬೊಂಟೆ ಮಲ್ಪುನಗ ಒರ
"Nagari Sriranga Acharya (Detroit), Kanti Chandrashekhar (Kentucky), Srinivas Mattu (Ontario, Canada), Chetna K (Ohio), Prasanta Mattu (Detroit) have been selected as directors.","ನಿರ್ದೇಶಕೆರಾದ್ ನಗರಿ ಶ್ರೀರಂಗ ಆಚಾರ್ಯ(ಡೆಟ್ರಾಯ್ಟ್) ಕಾಂತಿ ಚಂದ್ರಶೇಖರ್(ಕೆಂಟಕಿ), ಶ್ರೀನಿವಾಸ್ ಮಟ್ಟು (ಒಂಟಾರಿಯೊ,ಕೆನಡ) ಚೇತನಾ ಕೆ.(ಒಹಾಯೊ) ಪ್ರಶಾಂತ ಮಟ್ಟು (ಡೆಟ್ರಾಯ್ಟ್) ಆಯ್ಕೆ ಆತೆರ್."
Prasad sprinkled his running water on Ramya's face.,ಮೆಗ್ಯೆ ಪಾರ್ ಪೋದು ನೀರ್ ಕಂತಿನೆನ್ ಪ್ರಸಾದ್ ರಮ್ಯನ ಮೋನೆಗ್ ತಲ್ತಿನೆ
Abhinav learns the good,ಅಭಿನವನು ಎಡ್ಡೆಪ್ಪುನು ಕಲ್ಪುವೆ
